Tweet_ID,Created_At,Text,Username,User_Followers,Retweet_Count,Like_Count,Language,Hashtags,User_Verified
1905083211111182589,2025-03-27 02:23:26,"$HOOD Event has ended !!!  The stock is up 4%+ overnight as investors like what they see. Robinhood is trying to become THE BANK that will replace your regular bank.  Dip bought secured on the commons   If gains hold, lotto calls will print for the chat tomorrow as well https://t.co/pmX4xnsIiH https://t.co/cDTkGwEaif",DanzTrader,3241,0,0,en,,False
1905083210436169914,2025-03-27 02:23:26,"RT @heetwosun: a #heehoon few tweets au wherein —   indigo (sh), a finance intern, is gushing over ives’ (hs) voice, the new intern! https:…",_AUNEWS,11457,102,0,en,heehoon,False
1905083210020925553,2025-03-27 02:23:26,"RT @IncentiveFi: ⚡️Testnet V1.1 is NOW LIVE on @arbitrum — and you’re missing out if you’re not using it.  Over 100,000 Claims traded. 4,00…",MulisKull,5,5987,0,en,,False
1905083209064251599,2025-03-27 02:23:26,"@NikLentz Ya never know man... it could all end up being self induced.. which begs the question, at what strike is the trump put to abandon trumpnomics and just go back to bidenomics/what worked for the bull market of the last 2+ years",magic_carpetcap,793,0,0,en,,False
1905083203905536269,2025-03-27 02:23:25,RT @cryptomone_y: 🚀 LATEST: Stablecoin $USDC’s market cap has exceeded $60 billion for the first time. https://t.co/koLJlxXMqA,sanasushi__,34,0,0,en,,False
1905083203893030960,2025-03-27 02:23:25,"@DevotedDividend It came out almost at the bottom of the bear market, and the NASDAQ has rallied hard after it.",GodlyRH,189,0,0,en,,False
1905083200608797035,2025-03-27 02:23:24,"RT @TheCryptoDev_: Ethereum Market Update – March 2025 Outlook!  ▫️ As the second-largest cryptocurrency by market cap, ETH remains the bac…",markwinbits,74,129,0,en,,False
1905083200168226946,2025-03-27 02:23:24,@elonmusk @FT THATS WHY CANADA HAS A FINANCIAL PROBLEM  A JOURNALIST WAS CANADAS MINISTER of FINANCE https://t.co/rKL1ETyfun,DanLyrette,559,0,0,en,,False
1905083199585476847,2025-03-27 02:23:24,smart #Crypto #Investing! 🤔🤓 https://t.co/GTmuJuVTUx,kingReZor,1420,0,0,en,"Crypto, Investing",False
1905083199312875604,2025-03-27 02:23:24,"Global crypto market cap hits $2.98T, up 1.56% in 24H. BTC leads with 58.5% dominance. Total 24H trading volume surges 9.48% to $79.46B. The market stays volatile, with rapid shifts shaping trends. Stay sharp.   #Bitcoin #CryptoMarket #DeFi",jericiante,1500,0,1,en,"Bitcoin, CryptoMarket, DeFi",False
1905083199148929387,2025-03-27 02:23:24,"RT @engineer_inside: Mujhe apne studio ke liye ac install karwana tha …  Mujhe ek bhi hindu technician nahi mila, Baar baar LG ko call kiya…",KKD125689,457,4,0,hi,,False
1905083199039947010,2025-03-27 02:23:24,RT @portovecchiaaa: Boykot yaparak ekonomiye zarar verenler cezalandırılacakmış. Ya millet mecbur mu senin kahvecinden kahve içmeye. Düşüns…,DemirS08,701,1547,0,tr,,False
1905083198968651844,2025-03-27 02:23:24,"RT @ScottPresler: Final Statement On Pennsylvania Senate District 36  Since December 2024, we have been getting out the vote for SD36. We h…",juliet3189,86,3455,0,en,,False
1905083198373073019,2025-03-27 02:23:23,RT @essenviews: Canadian travel to the U.S. drops over 70% for summer 2025 https://t.co/b9gwb3WgoI,Enrique48792874,632,149,0,en,,False
