month,channel,comment
Jan,CNBC,"The market trend can turn around very quickly. In fact, the indexes often switch from a bear market to a bull market when the news is at its worst and the mood of investors is at its lowest point. I read an article of people that grossed profits up to $150k during this crash, what are the best stocks to buy now or put on a watchlist?"
Jan,CNBC,As an Australian i can tell you Amazon here in Australia is cheaper then our supermarkets but its their postage that makes people buy from them 1 to 2 day delivery is crazy where i live as most of the online stores here in Australia takes over a week and a half to get to you even 2 weeks some times and yet stuff coming overseas takes quicker. So while walmart may be trying to take on Amazon it still don't deliver world wide hence amazon is bigger and better for us outside of the USA.
Jan,CNBC,"When Marketing tactics are just better, the government and politics just want things to go their way because how else are they going to take your money? Do you really think they care about you? They just care about how much they can pocket from you. I think what really matters at the end of the day is how much purchasing power the users really have at the end, if you spend less money for things, that's a win for you imo."
Jan,CNBC,"Just as Samsung released its S24 lineup that's getting RAVE reviews, I have to admit that Apple knows how to fight a marketing war."
Jan,CNBC,The iPhone didn't change the world Android did. Android has over 70% worldwide market share in phones it's just that iPhones are more popular in the United States so everybody's on that bandwagon.
Jan,CNBC,"I think history will show once again that whether it's a foreign investor or a national owned company the average citizen will lose out on all these ""promised benefits""."
Jan,CNBC,"Guyana y’all need to stand strong and united and DONT LET MABURRO bully you, this Mexican wishes to learn EVERYTHING about your beautiful country, please stand strong and united. 🇲🇽 ❤️ 🇬🇾"
Jan,CNBC,Hopefully they use the money to invest in its people and infrastructure
Jan,CNBC,"Wow, my home country made the news. I was there in December and there have quite a bit of Venezuelans in Guyana. Venezuela needs to worry about their economy. The border issue is all based on colonialism."
Jan,Bloomberg,"I'm making a nice healthy return on my Novo investment. I'm looking to adda lot more, this decade will be amazing for those companies"
Jan,Bloomberg,Missing India prediction of obesity with introduction of semaglutide Ozempic for over 15% population with its social gains to obese individuals rather than the market price.
Jan,Bloomberg,should I buy novo stock or eli stock?
Jan,Bloomberg,Just trying to pump the stock
Jan,Bloomberg,"""Obesity market...""lol. Sounds like a market where obesity is bought and sold or traded. there has to be another way to phrase that."
Jan,Bloomberg,"""Enormous market"" haha"
Jan,Bloomberg,Looks cool and have a huge potential market beyond just treating burns. Best wishes to this startup
